"date","home.team","home.score","away.team","away.score"
"2019-11-23","Betis",2,"Valencia",1
"2019-11-23","Granada",1,"Ath Madrid",1
"2019-11-23","Real Madrid",3,"Sociedad",1
"2019-11-24","Espanol",1,"Getafe",1
"2019-11-24","Osasuna",1,"Ath Bilbao",2
"2019-11-24","Eibar",0,"Alaves",2
"2019-11-24","Villarreal",1,"Celta",3
"2019-11-24","Valladolid",0,"Sevilla",1
"2019-11-29","Celta",0,"Valladolid",0
"2019-11-30","Alaves",1,"Real Madrid",2
"2019-11-30","Sociedad",4,"Eibar",1
"2019-11-30","Mallorca",1,"Betis",2
"2019-11-30","Valencia",2,"Villarreal",1
"2019-12-01","Sevilla",1,"Leganes",0
"2019-12-01","Ath Bilbao",2,"Granada",0
"2019-12-01","Espanol",2,"Osasuna",4
"2019-12-01","Getafe",4,"Levante",0
"2019-12-01","Ath Madrid",0,"Barcelona",1
"2019-12-06","Villarreal",0,"Ath Madrid",0
"2019-12-07","Real Madrid",2,"Espanol",0
"2019-12-07","Granada",3,"Alaves",0
"2019-12-07","Levante",2,"Valencia",4
"2019-12-07","Barcelona",5,"Mallorca",2
"2019-12-08","Eibar",0,"Getafe",1
"2019-12-08","Betis",3,"Ath Bilbao",2
"2019-12-08","Valladolid",0,"Sociedad",0
"2019-12-08","Leganes",3,"Celta",2
"2019-12-08","Osasuna",1,"Sevilla",1
"2019-12-13","Alaves",1,"Leganes",1
"2019-12-14","Granada",1,"Levante",2
"2019-12-14","Sociedad",2,"Barcelona",2
"2019-12-14","Ath Bilbao",0,"Eibar",0
"2019-12-14","Ath Madrid",2,"Osasuna",0
"2019-12-15","Getafe",2,"Valladolid",0
"2019-12-15","Celta",2,"Mallorca",2
"2019-12-15","Espanol",2,"Betis",2
"2019-12-15","Sevilla",1,"Villarreal",2
"2019-12-15","Valencia",1,"Real Madrid",1
"2019-12-18","Barcelona",0,"Real Madrid",0
"2019-12-20","Eibar",3,"Granada",0
"2019-12-21","Mallorca",0,"Sevilla",2
"2019-12-21","Barcelona",4,"Alaves",1
"2019-12-21","Villarreal",1,"Getafe",0
"2019-12-21","Valladolid",1,"Valencia",1
"2019-12-22","Leganes",2,"Espanol",0
"2019-12-22","Osasuna",3,"Sociedad",4
"2019-12-22","Betis",1,"Ath Madrid",2
"2019-12-22","Levante",3,"Celta",1
"2019-12-22","Real Madrid",0,"Ath Bilbao",0
"2020-01-03","Valladolid",2,"Leganes",2
"2020-01-03","Sevilla",1,"Ath Bilbao",1
"2020-01-04","Valencia",1,"Eibar",0
"2020-01-04","Getafe",0,"Real Madrid",3
"2020-01-04","Ath Madrid",2,"Levante",1
"2020-01-04","Espanol",2,"Barcelona",2
"2020-01-05","Granada",1,"Mallorca",0
"2020-01-05","Sociedad",1,"Villarreal",2
"2020-01-05","Alaves",1,"Betis",1
"2020-01-05","Celta",1,"Osasuna",1
"2020-01-17","Leganes",0,"Getafe",3
"2020-01-18","Levante",0,"Alaves",1
"2020-01-18","Real Madrid",2,"Sevilla",1
"2020-01-18","Osasuna",0,"Valladolid",0
"2020-01-18","Eibar",2,"Ath Madrid",0
"2020-01-19","Mallorca",4,"Valencia",1
"2020-01-19","Betis",3,"Sociedad",0
"2020-01-19","Villarreal",1,"Espanol",2
"2020-01-19","Ath Bilbao",1,"Celta",1
"2020-01-19","Barcelona",1,"Granada",0
"2020-01-24","Osasuna",2,"Levante",0
"2020-01-25","Espanol",1,"Ath Bilbao",1
"2020-01-25","Valencia",2,"Barcelona",0
"2020-01-25","Alaves",1,"Villarreal",2
"2020-01-25","Sevilla",2,"Granada",0
"2020-01-26","Ath Madrid",0,"Leganes",0
"2020-01-26","Celta",0,"Eibar",0
"2020-01-26","Getafe",1,"Betis",0
"2020-01-26","Sociedad",3,"Mallorca",0
"2020-01-26","Valladolid",0,"Real Madrid",1
"2020-02-01","Granada",2,"Espanol",1
"2020-02-01","Real Madrid",1,"Ath Madrid",0
"2020-02-01","Mallorca",0,"Valladolid",1
"2020-02-01","Valencia",1,"Celta",0
"2020-02-02","Leganes",2,"Sociedad",1
"2020-02-02","Eibar",1,"Betis",1
"2020-02-02","Ath Bilbao",0,"Getafe",2
"2020-02-02","Sevilla",1,"Alaves",1
"2020-02-02","Villarreal",3,"Osasuna",1
"2020-02-02","Barcelona",2,"Levante",1
"2020-02-07","Alaves",2,"Eibar",1
"2020-02-08","Levante",2,"Leganes",0
"2020-02-08","Getafe",3,"Valencia",0
"2020-02-08","Valladolid",1,"Villarreal",1
"2020-02-08","Ath Madrid",1,"Granada",0
"2020-02-09","Espanol",1,"Mallorca",0
"2020-02-09","Sociedad",2,"Ath Bilbao",1
"2020-02-09","Osasuna",1,"Real Madrid",4
"2020-02-09","Celta",2,"Sevilla",1
"2020-02-09","Betis",2,"Barcelona",3
"2020-02-14","Valencia",2,"Ath Madrid",2
"2020-02-15","Mallorca",1,"Alaves",0
"2020-02-15","Barcelona",2,"Getafe",1
"2020-02-15","Villarreal",2,"Levante",1
"2020-02-15","Granada",2,"Valladolid",1
"2020-02-16","Sevilla",2,"Espanol",2
"2020-02-16","Leganes",0,"Betis",0
"2020-02-16","Ath Bilbao",0,"Osasuna",1
"2020-02-16","Real Madrid",2,"Celta",2
"2020-02-21","Betis",3,"Mallorca",3
"2020-02-22","Celta",1,"Leganes",0
"2020-02-22","Barcelona",5,"Eibar",0
"2020-02-22","Sociedad",3,"Valencia",0
"2020-02-22","Levante",1,"Real Madrid",0
"2020-02-23","Osasuna",0,"Granada",3
"2020-02-23","Alaves",2,"Ath Bilbao",1
"2020-02-23","Valladolid",2,"Espanol",1
"2020-02-23","Getafe",0,"Sevilla",3
"2020-02-23","Ath Madrid",3,"Villarreal",1
"2020-02-28","Sociedad",1,"Valladolid",0
"2020-02-29","Eibar",3,"Levante",0
"2020-02-29","Valencia",2,"Betis",1
"2020-02-29","Leganes",1,"Alaves",1
"2020-02-29","Granada",0,"Celta",0
"2020-03-01","Sevilla",3,"Osasuna",2
"2020-03-01","Ath Bilbao",1,"Villarreal",0
"2020-03-01","Espanol",1,"Ath Madrid",1
"2020-03-01","Mallorca",0,"Getafe",1
"2020-03-01","Real Madrid",2,"Barcelona",0
"2020-03-06","Alaves",1,"Valencia",1
"2020-03-07","Eibar",1,"Mallorca",2
"2020-03-07","Ath Madrid",2,"Sevilla",2
"2020-03-07","Barcelona",1,"Sociedad",0
"2020-03-07","Getafe",0,"Celta",0
"2020-03-08","Osasuna",1,"Espanol",0
"2020-03-08","Valladolid",1,"Ath Bilbao",4
"2020-03-08","Levante",1,"Granada",1
