"date","home.team","home.score","away.team","away.score"
"2021-01-24","Ath Madrid",3,"Valencia",1
"2021-01-25","Ath Bilbao",5,"Getafe",1
"2021-01-29","Valladolid",1,"Huesca",3
"2021-01-30","Eibar",0,"Sevilla",2
"2021-01-30","Real Madrid",1,"Levante",2
"2021-01-30","Valencia",1,"Elche",0
"2021-01-30","Villarreal",1,"Sociedad",1
"2021-01-31","Getafe",0,"Alaves",0
"2021-01-31","Cadiz",2,"Ath Madrid",4
"2021-01-31","Granada",0,"Celta",0
"2021-01-31","Barcelona",2,"Ath Bilbao",1
"2021-02-01","Betis",1,"Osasuna",0
"2021-02-05","Alaves",1,"Valladolid",0
"2021-02-06","Levante",2,"Granada",2
"2021-02-06","Huesca",1,"Real Madrid",2
"2021-02-06","Elche",2,"Villarreal",2
"2021-02-06","Sevilla",3,"Getafe",0
"2021-02-07","Sociedad",4,"Cadiz",1
"2021-02-07","Ath Bilbao",1,"Valencia",1
"2021-02-07","Osasuna",2,"Eibar",1
"2021-02-07","Betis",2,"Barcelona",3
"2021-02-08","Ath Madrid",2,"Celta",2
"2021-02-09","Real Madrid",2,"Getafe",0
"2021-02-12","Celta",3,"Elche",1
"2021-02-13","Granada",1,"Ath Madrid",2
"2021-02-13","Sevilla",1,"Huesca",0
"2021-02-13","Eibar",1,"Valladolid",1
"2021-02-13","Barcelona",5,"Alaves",1
"2021-02-14","Getafe",0,"Sociedad",1
"2021-02-14","Real Madrid",2,"Valencia",0
"2021-02-14","Levante",0,"Osasuna",1
"2021-02-14","Villarreal",1,"Betis",2
"2021-02-15","Cadiz",0,"Ath Bilbao",4
"2021-02-17","Levante",1,"Ath Madrid",1
"2021-02-19","Betis",1,"Getafe",0
"2021-02-20","Elche",1,"Eibar",0
"2021-02-20","Ath Madrid",0,"Levante",2
"2021-02-20","Valencia",2,"Celta",0
"2021-02-20","Valladolid",0,"Real Madrid",1
"2021-02-21","Barcelona",1,"Cadiz",1
"2021-02-21","Sociedad",4,"Alaves",0
"2021-02-21","Huesca",3,"Granada",2
"2021-02-21","Ath Bilbao",1,"Villarreal",1
"2021-02-22","Osasuna",0,"Sevilla",2
"2021-02-24","Barcelona",3,"Elche",0
"2021-02-26","Levante",1,"Ath Bilbao",1
"2021-02-27","Eibar",1,"Huesca",1
"2021-02-27","Sevilla",0,"Barcelona",2
"2021-02-27","Alaves",0,"Osasuna",1
"2021-02-27","Getafe",3,"Valencia",0
"2021-02-28","Celta",1,"Valladolid",1
"2021-02-28","Cadiz",0,"Betis",1
"2021-02-28","Granada",2,"Elche",1
"2021-02-28","Villarreal",0,"Ath Madrid",2
"2021-03-01","Real Madrid",1,"Sociedad",1
"2021-03-05","Valencia",2,"Villarreal",1
"2021-03-06","Valladolid",2,"Getafe",1
"2021-03-06","Elche",2,"Sevilla",1
"2021-03-06","Cadiz",1,"Eibar",0
"2021-03-06","Osasuna",0,"Barcelona",2
"2021-03-07","Huesca",3,"Celta",4
"2021-03-07","Ath Madrid",1,"Real Madrid",1
"2021-03-07","Sociedad",1,"Levante",0
"2021-03-07","Ath Bilbao",2,"Granada",1
"2021-03-08","Betis",3,"Alaves",2
"2021-03-10","Ath Madrid",2,"Ath Bilbao",1
"2021-03-12","Levante",1,"Valencia",0
"2021-03-13","Alaves",1,"Cadiz",1
"2021-03-13","Real Madrid",2,"Elche",1
"2021-03-13","Osasuna",0,"Valladolid",0
"2021-03-13","Getafe",0,"Ath Madrid",0
"2021-03-14","Celta",0,"Ath Bilbao",0
"2021-03-14","Granada",1,"Sociedad",0
"2021-03-14","Eibar",1,"Villarreal",3
"2021-03-14","Sevilla",1,"Betis",0
"2021-03-15","Barcelona",4,"Huesca",1
"2021-03-17","Sevilla",2,"Elche",0
"2021-03-19","Betis",2,"Levante",0
"2021-03-20","Ath Bilbao",1,"Eibar",1
"2021-03-20","Celta",1,"Real Madrid",3
"2021-03-20","Huesca",0,"Osasuna",0
"2021-03-20","Valladolid",1,"Sevilla",1
"2021-03-21","Getafe",1,"Elche",1
"2021-03-21","Valencia",2,"Granada",1
"2021-03-21","Villarreal",2,"Cadiz",1
"2021-03-21","Ath Madrid",1,"Alaves",0
"2021-03-21","Sociedad",1,"Barcelona",6
"2021-04-02","Levante",0,"Huesca",2
"2021-04-03","Granada",0,"Villarreal",3
"2021-04-03","Real Madrid",2,"Eibar",0
"2021-04-03","Osasuna",0,"Getafe",0
"2021-04-04","Alaves",1,"Celta",3
"2021-04-04","Elche",1,"Betis",1
"2021-04-04","Cadiz",2,"Valencia",1
"2021-04-04","Sevilla",1,"Ath Madrid",0
"2021-04-05","Barcelona",1,"Valladolid",0
"2021-04-07","Sociedad",1,"Ath Bilbao",1
"2021-04-09","Huesca",3,"Elche",1
"2021-04-10","Getafe",0,"Cadiz",1
"2021-04-10","Ath Bilbao",0,"Alaves",0
"2021-04-10","Eibar",0,"Levante",1
"2021-04-10","Real Madrid",2,"Barcelona",1
"2021-04-11","Villarreal",1,"Osasuna",2
"2021-04-11","Valencia",2,"Sociedad",2
"2021-04-11","Valladolid",1,"Granada",2
"2021-04-11","Betis",1,"Ath Madrid",1
"2021-04-12","Celta",3,"Sevilla",4
"2021-04-18","Osasuna",2,"Elche",0
"2021-04-18","Sociedad",1,"Sevilla",2
"2021-04-18","Alaves",1,"Huesca",0
"2021-04-18","Ath Madrid",5,"Eibar",0
"2021-04-18","Betis",2,"Valencia",2
"2021-04-18","Cadiz",0,"Celta",0
"2021-04-18","Getafe",0,"Real Madrid",0
"2021-04-18","Levante",1,"Villarreal",5
"2021-04-21","Levante",0,"Sevilla",1
"2021-04-21","Osasuna",3,"Valencia",1
"2021-04-21","Betis",0,"Ath Bilbao",0
"2021-04-21","Alaves",2,"Villarreal",1
"2021-04-21","Elche",1,"Valladolid",1
"2021-04-21","Cadiz",0,"Real Madrid",3
"2021-04-22","Ath Madrid",2,"Huesca",0
"2021-04-22","Granada",4,"Eibar",1
"2021-04-22","Sociedad",2,"Celta",1
"2021-04-22","Barcelona",5,"Getafe",2
"2021-04-24","Elche",1,"Levante",0
"2021-04-24","Valladolid",1,"Cadiz",1
"2021-04-24","Valencia",1,"Alaves",1
"2021-04-24","Real Madrid",0,"Betis",0
"2021-04-25","Huesca",0,"Getafe",2
"2021-04-25","Villarreal",1,"Barcelona",2
"2021-04-25","Celta",2,"Osasuna",1
"2021-04-25","Sevilla",2,"Granada",1
"2021-04-25","Ath Bilbao",2,"Ath Madrid",1
"2021-04-26","Eibar",0,"Sociedad",1
"2021-04-28","Ath Bilbao",2,"Valladolid",2
"2021-04-29","Barcelona",1,"Granada",2
"2021-04-30","Celta",2,"Levante",0
"2021-05-01","Eibar",3,"Alaves",0
"2021-05-01","Elche",0,"Ath Madrid",1
"2021-05-01","Huesca",1,"Sociedad",0
"2021-05-01","Real Madrid",2,"Osasuna",0
"2021-05-02","Valladolid",1,"Betis",1
"2021-05-02","Villarreal",1,"Getafe",0
"2021-05-02","Granada",0,"Cadiz",1
"2021-05-02","Valencia",2,"Barcelona",3
"2021-05-03","Sevilla",0,"Ath Bilbao",1
"2021-05-07","Sociedad",2,"Elche",0
"2021-05-08","Alaves",2,"Levante",2
"2021-05-08","Barcelona",0,"Ath Madrid",0
"2021-05-08","Cadiz",2,"Huesca",1
"2021-05-08","Ath Bilbao",2,"Osasuna",2
"2021-05-09","Getafe",0,"Eibar",1
"2021-05-09","Valencia",3,"Valladolid",0
"2021-05-09","Villarreal",2,"Celta",4
"2021-05-09","Real Madrid",2,"Sevilla",2
"2021-05-10","Betis",2,"Granada",1
"2021-05-11","Osasuna",3,"Cadiz",2
"2021-05-11","Elche",0,"Alaves",2
"2021-05-11","Levante",3,"Barcelona",3
"2021-05-12","Sevilla",1,"Valencia",0
"2021-05-12","Celta",1,"Getafe",0
"2021-05-12","Huesca",1,"Ath Bilbao",0
"2021-05-12","Ath Madrid",2,"Sociedad",1
"2021-05-13","Valladolid",0,"Villarreal",2
"2021-05-13","Eibar",1,"Betis",1
"2021-05-13","Granada",1,"Real Madrid",4
"2021-05-16","Alaves",4,"Granada",2
"2021-05-16","Ath Bilbao",0,"Real Madrid",1
"2021-05-16","Ath Madrid",2,"Osasuna",1
"2021-05-16","Barcelona",1,"Celta",2
"2021-05-16","Betis",1,"Huesca",0
"2021-05-16","Cadiz",1,"Elche",3
"2021-05-16","Getafe",2,"Levante",1
"2021-05-16","Sociedad",4,"Valladolid",1
"2021-05-16","Valencia",4,"Eibar",1
"2021-05-16","Villarreal",4,"Sevilla",0
"2021-05-21","Levante",2,"Cadiz",2
"2021-05-22","Celta",2,"Betis",3
"2021-05-22","Eibar",0,"Barcelona",1
"2021-05-22","Elche",2,"Ath Bilbao",0
"2021-05-22","Huesca",0,"Valencia",0
"2021-05-22","Osasuna",0,"Sociedad",1
"2021-05-22","Real Madrid",2,"Villarreal",1
"2021-05-22","Valladolid",1,"Ath Madrid",2
"2021-05-23","Granada",0,"Getafe",0
"2021-05-23","Sevilla",1,"Alaves",0
"2021-08-13","Valencia",1,"Getafe",0
"2021-08-14","Cadiz",1,"Levante",1
"2021-08-14","Mallorca",1,"Betis",1
"2021-08-14","Alaves",1,"Real Madrid",4
"2021-08-14","Osasuna",0,"Espanol",0
"2021-08-15","Celta",1,"Ath Madrid",2
"2021-08-15","Barcelona",4,"Sociedad",2
"2021-08-15","Sevilla",3,"Vallecano",0
"2021-08-16","Villarreal",0,"Granada",0
"2021-08-16","Elche",0,"Ath Bilbao",0
"2021-08-20","Betis",1,"Cadiz",1
"2021-08-21","Alaves",0,"Mallorca",1
"2021-08-21","Espanol",0,"Villarreal",0
"2021-08-21","Granada",1,"Valencia",1
"2021-08-21","Ath Bilbao",1,"Barcelona",1
"2021-08-22","Sociedad",1,"Vallecano",0
"2021-08-22","Ath Madrid",1,"Elche",0
"2021-08-22","Levante",3,"Real Madrid",3
"2021-08-23","Getafe",0,"Sevilla",1
"2021-08-23","Osasuna",0,"Celta",0
"2021-08-27","Mallorca",1,"Espanol",0
"2021-08-27","Valencia",3,"Alaves",0
"2021-08-28","Celta",0,"Ath Bilbao",1
"2021-08-28","Elche",1,"Sevilla",1
"2021-08-28","Sociedad",1,"Levante",0
"2021-08-28","Betis",0,"Real Madrid",1
"2021-08-29","Barcelona",2,"Getafe",1
"2021-08-29","Cadiz",2,"Osasuna",3
"2021-08-29","Vallecano",4,"Granada",0
"2021-08-29","Ath Madrid",2,"Villarreal",2
"2021-09-11","Levante",1,"Vallecano",1
"2021-09-11","Ath Bilbao",2,"Mallorca",0
"2021-09-12","Espanol",1,"Ath Madrid",2
"2021-09-12","Osasuna",1,"Valencia",4
"2021-09-12","Cadiz",0,"Sociedad",2
"2021-09-12","Real Madrid",5,"Celta",2
"2021-09-13","Getafe",0,"Elche",1
"2021-09-13","Granada",1,"Betis",2
"2021-09-17","Celta",1,"Cadiz",2
"2021-09-18","Vallecano",3,"Getafe",0
"2021-09-18","Ath Madrid",0,"Ath Bilbao",0
"2021-09-18","Elche",1,"Levante",1
"2021-09-18","Alaves",0,"Osasuna",2
"2021-09-19","Mallorca",0,"Villarreal",0
"2021-09-19","Sociedad",0,"Sevilla",0
"2021-09-19","Betis",2,"Espanol",2
"2021-09-19","Valencia",1,"Real Madrid",2
"2021-09-20","Barcelona",1,"Granada",1
"2021-09-21","Getafe",1,"Ath Madrid",2
"2021-09-21","Ath Bilbao",1,"Vallecano",2
"2021-09-21","Levante",0,"Celta",2
"2021-09-22","Espanol",1,"Alaves",0
"2021-09-22","Sevilla",3,"Valencia",1
"2021-09-22","Real Madrid",6,"Mallorca",1
"2021-09-22","Villarreal",4,"Elche",1
"2021-09-23","Granada",2,"Sociedad",3
"2021-09-23","Osasuna",1,"Betis",3
"2021-09-23","Cadiz",0,"Barcelona",0
"2021-09-25","Alaves",1,"Ath Madrid",0
"2021-09-25","Valencia",1,"Ath Bilbao",1
"2021-09-25","Sevilla",2,"Espanol",0
"2021-09-25","Real Madrid",0,"Villarreal",0
"2021-09-26","Mallorca",2,"Osasuna",3
"2021-09-26","Barcelona",3,"Levante",0
"2021-09-26","Sociedad",1,"Elche",0
"2021-09-26","Vallecano",3,"Cadiz",1
"2021-09-26","Betis",2,"Getafe",0
"2021-09-27","Celta",1,"Granada",0
"2021-10-01","Ath Bilbao",1,"Alaves",0
"2021-10-02","Osasuna",1,"Vallecano",0
"2021-10-02","Mallorca",1,"Levante",0
"2021-10-02","Cadiz",0,"Valencia",0
"2021-10-02","Ath Madrid",2,"Barcelona",0
"2021-10-03","Elche",1,"Celta",0
"2021-10-03","Espanol",2,"Real Madrid",1
"2021-10-03","Getafe",1,"Sociedad",1
"2021-10-03","Villarreal",2,"Betis",0
"2021-10-03","Granada",1,"Sevilla",0
"2021-10-16","Levante",0,"Getafe",0
"2021-10-16","Sociedad",1,"Mallorca",0
"2021-10-17","Vallecano",2,"Elche",1
"2021-10-17","Celta",0,"Sevilla",1
"2021-10-17","Villarreal",1,"Osasuna",2
"2021-10-17","Barcelona",3,"Valencia",1
"2021-10-18","Alaves",0,"Betis",1
"2021-10-18","Espanol",2,"Cadiz",0
"2021-10-22","Osasuna",1,"Granada",1
"2021-10-23","Valencia",2,"Mallorca",2
"2021-10-23","Cadiz",0,"Alaves",2
"2021-10-23","Elche",2,"Espanol",2
"2021-10-23","Ath Bilbao",2,"Villarreal",1
"2021-10-24","Sevilla",5,"Levante",3
"2021-10-24","Barcelona",1,"Real Madrid",2
"2021-10-24","Betis",3,"Vallecano",2
"2021-10-24","Ath Madrid",2,"Sociedad",2
"2021-10-25","Getafe",0,"Celta",3
"2021-10-26","Alaves",1,"Elche",0
"2021-10-26","Espanol",1,"Ath Bilbao",1
"2021-10-26","Villarreal",3,"Cadiz",3
"2021-10-27","Mallorca",1,"Sevilla",1
"2021-10-27","Vallecano",1,"Barcelona",0
"2021-10-27","Betis",4,"Valencia",1
"2021-10-27","Real Madrid",0,"Osasuna",0
"2021-10-28","Celta",0,"Sociedad",2
"2021-10-28","Granada",1,"Getafe",1
"2021-10-28","Levante",2,"Ath Madrid",2
"2021-10-30","Elche",1,"Real Madrid",2
"2021-10-30","Sevilla",2,"Osasuna",0
"2021-10-30","Valencia",2,"Villarreal",0
"2021-10-30","Barcelona",1,"Alaves",1
"2021-10-31","Cadiz",1,"Mallorca",1
"2021-10-31","Ath Madrid",3,"Betis",0
"2021-10-31","Getafe",2,"Espanol",1
"2021-10-31","Sociedad",1,"Ath Bilbao",1
"2021-11-01","Vallecano",0,"Celta",0
"2021-11-01","Levante",0,"Granada",3
"2021-11-05","Ath Bilbao",0,"Cadiz",1
"2021-11-06","Espanol",2,"Granada",0
"2021-11-06","Celta",3,"Barcelona",3
"2021-11-06","Alaves",2,"Levante",1
"2021-11-06","Real Madrid",2,"Vallecano",1
"2021-11-07","Villarreal",1,"Getafe",0
"2021-11-07","Valencia",3,"Ath Madrid",3
"2021-11-07","Mallorca",2,"Elche",2
"2021-11-07","Osasuna",0,"Sociedad",2
"2021-11-07","Betis",0,"Sevilla",2
"2021-11-19","Levante",0,"Ath Bilbao",0
"2021-11-20","Celta",1,"Villarreal",1
"2021-11-20","Sevilla",2,"Alaves",2
"2021-11-20","Ath Madrid",1,"Osasuna",0
"2021-11-20","Barcelona",1,"Espanol",0
"2021-11-21","Getafe",4,"Cadiz",0
"2021-11-21","Granada",1,"Real Madrid",4
"2021-11-21","Elche",0,"Betis",3
"2021-11-21","Sociedad",0,"Valencia",0
"2021-11-22","Vallecano",3,"Mallorca",1
"2021-11-26","Ath Bilbao",2,"Granada",2
"2021-11-27","Alaves",1,"Celta",2
"2021-11-27","Valencia",1,"Vallecano",1
"2021-11-27","Mallorca",0,"Getafe",0
"2021-11-27","Villarreal",1,"Barcelona",3
"2021-11-28","Betis",3,"Levante",1
"2021-11-28","Espanol",1,"Sociedad",0
"2021-11-28","Cadiz",1,"Ath Madrid",4
"2021-11-28","Real Madrid",2,"Sevilla",1
"2021-11-29","Osasuna",1,"Elche",1
"2021-12-01","Real Madrid",1,"Ath Bilbao",0
"2021-12-03","Granada",2,"Alaves",1
"2021-12-04","Sevilla",1,"Villarreal",0
"2021-12-04","Barcelona",0,"Betis",1
"2021-12-04","Ath Madrid",1,"Mallorca",2
"2021-12-04","Sociedad",0,"Real Madrid",2
"2021-12-05","Vallecano",1,"Espanol",0
"2021-12-05","Elche",3,"Cadiz",1
"2021-12-05","Levante",0,"Osasuna",0
"2021-12-05","Celta",1,"Valencia",2
"2021-12-06","Getafe",0,"Ath Bilbao",0
"2021-12-10","Mallorca",0,"Celta",0
"2021-12-11","Espanol",4,"Levante",3
"2021-12-11","Alaves",1,"Getafe",1
"2021-12-11","Valencia",2,"Elche",1
"2021-12-11","Ath Bilbao",0,"Sevilla",1
"2021-12-12","Villarreal",2,"Vallecano",0
"2021-12-12","Osasuna",2,"Barcelona",2
"2021-12-12","Betis",4,"Sociedad",0
"2021-12-12","Real Madrid",2,"Ath Madrid",0
"2021-12-13","Cadiz",1,"Granada",1
"2021-12-17","Celta",3,"Espanol",1
"2021-12-18","Vallecano",2,"Alaves",0
"2021-12-18","Sociedad",1,"Villarreal",3
"2021-12-18","Barcelona",3,"Elche",2
"2021-12-18","Sevilla",2,"Ath Madrid",1
"2021-12-19","Granada",4,"Mallorca",1
"2021-12-19","Ath Bilbao",3,"Betis",2
"2021-12-19","Getafe",1,"Osasuna",0
"2021-12-19","Real Madrid",0,"Cadiz",0
"2021-12-20","Levante",3,"Valencia",4
"2021-12-21","Villarreal",5,"Alaves",2
"2021-12-21","Sevilla",1,"Barcelona",1
"2021-12-22","Granada",2,"Ath Madrid",1
"2021-12-22","Ath Bilbao",1,"Real Madrid",2
"2021-12-31","Valencia",1,"Espanol",2
"2022-01-02","Getafe",1,"Real Madrid",0
"2022-01-02","Ath Madrid",2,"Vallecano",0
"2022-01-02","Elche",0,"Granada",0
"2022-01-02","Alaves",1,"Sociedad",1
"2022-01-02","Betis",0,"Celta",2
"2022-01-02","Mallorca",0,"Barcelona",1
"2022-01-03","Villarreal",5,"Levante",0
"2022-01-03","Osasuna",1,"Ath Bilbao",3
"2022-01-03","Cadiz",0,"Sevilla",1
"2022-01-08","Levante",2,"Mallorca",0
"2022-01-08","Sociedad",1,"Celta",0
"2022-01-08","Granada",1,"Barcelona",1
"2022-01-08","Real Madrid",4,"Valencia",1
"2022-01-09","Vallecano",1,"Betis",1
"2022-01-09","Sevilla",1,"Getafe",0
"2022-01-09","Alaves",0,"Ath Bilbao",0
"2022-01-09","Osasuna",2,"Cadiz",0
"2022-01-09","Villarreal",2,"Ath Madrid",2
"2022-01-10","Espanol",1,"Elche",2
"2022-01-16","Elche",1,"Villarreal",0
"2022-01-18","Betis",4,"Alaves",0
"2022-01-18","Cadiz",2,"Espanol",2
"2022-01-19","Celta",2,"Osasuna",0
"2022-01-19","Valencia",1,"Sevilla",1
"2022-01-20","Getafe",4,"Granada",2
"2022-01-21","Espanol",1,"Betis",4
"2022-01-22","Levante",0,"Cadiz",2
"2022-01-22","Villarreal",3,"Mallorca",0
"2022-01-22","Sevilla",2,"Celta",2
"2022-01-22","Ath Madrid",3,"Valencia",2
"2022-01-23","Granada",0,"Osasuna",2
"2022-01-23","Real Madrid",2,"Elche",2
"2022-01-23","Sociedad",0,"Getafe",0
"2022-01-23","Vallecano",0,"Ath Bilbao",1
"2022-01-23","Alaves",0,"Barcelona",1
"2022-02-04","Getafe",3,"Levante",0
"2022-02-05","Elche",3,"Alaves",1
"2022-02-05","Mallorca",2,"Cadiz",1
"2022-02-05","Celta",2,"Vallecano",0
"2022-02-05","Osasuna",0,"Sevilla",0
"2022-02-06","Valencia",0,"Sociedad",0
"2022-02-06","Barcelona",4,"Ath Madrid",2
"2022-02-06","Betis",0,"Villarreal",2
"2022-02-06","Real Madrid",1,"Granada",0
"2022-02-07","Ath Bilbao",2,"Espanol",1
"2022-02-11","Sevilla",2,"Elche",0
"2022-02-12","Cadiz",0,"Celta",0
"2022-02-12","Villarreal",0,"Real Madrid",0
"2022-02-12","Vallecano",0,"Osasuna",3
"2022-02-12","Ath Madrid",4,"Getafe",3
"2022-02-13","Alaves",2,"Valencia",1
"2022-02-13","Levante",2,"Betis",4
"2022-02-13","Sociedad",2,"Granada",0
"2022-02-13","Espanol",2,"Barcelona",2
"2022-02-14","Mallorca",3,"Ath Bilbao",2
"2022-02-16","Ath Madrid",0,"Levante",1
"2022-02-18","Elche",2,"Vallecano",1
"2022-02-19","Granada",1,"Villarreal",4
"2022-02-19","Osasuna",0,"Ath Madrid",3
"2022-02-19","Cadiz",1,"Getafe",1
"2022-02-19","Real Madrid",3,"Alaves",0
"2022-02-20","Espanol",1,"Sevilla",1
"2022-02-20","Valencia",1,"Barcelona",4
"2022-02-20","Betis",2,"Mallorca",1
"2022-02-20","Ath Bilbao",4,"Sociedad",0
"2022-02-21","Celta",1,"Levante",1
"2022-02-25","Levante",3,"Elche",0
"2022-02-26","Mallorca",0,"Valencia",1
"2022-02-26","Getafe",2,"Alaves",2
"2022-02-26","Vallecano",0,"Real Madrid",1
"2022-02-26","Ath Madrid",2,"Celta",0
"2022-02-27","Villarreal",5,"Espanol",1
"2022-02-27","Sevilla",2,"Betis",1
"2022-02-27","Sociedad",1,"Osasuna",0
"2022-02-27","Barcelona",4,"Ath Bilbao",0
"2022-02-28","Granada",0,"Cadiz",0
"2022-03-02","Mallorca",0,"Sociedad",2
"2022-03-04","Alaves",0,"Sevilla",0
"2022-03-05","Osasuna",1,"Villarreal",0
"2022-03-05","Espanol",2,"Getafe",0
"2022-03-05","Valencia",3,"Granada",1
"2022-03-05","Real Madrid",4,"Sociedad",1
"2022-03-06","Cadiz",2,"Vallecano",0
"2022-03-06","Elche",1,"Barcelona",2
"2022-03-06","Celta",4,"Mallorca",3
"2022-03-06","Betis",1,"Ath Madrid",3
"2022-03-07","Ath Bilbao",3,"Levante",1
"2022-03-11","Ath Madrid",2,"Cadiz",1
"2022-03-12","Levante",1,"Espanol",1
"2022-03-12","Granada",0,"Elche",1
"2022-03-12","Villarreal",1,"Celta",0
"2022-03-12","Getafe",0,"Valencia",0
"2022-03-13","Vallecano",1,"Sevilla",1
"2022-03-13","Betis",1,"Ath Bilbao",0
"2022-03-13","Sociedad",1,"Alaves",0
"2022-03-13","Barcelona",4,"Osasuna",0
